"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"MALLORCA-234-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323497/birefnet-general-lite/gap/MALLORCA-234-3.jpg","","image","jpg","","birefnet-general-lite/gap/MALLORCA-234-3","e1ee91ec37b3b126269c8b6be33d2fa7","MALLORCA-234-3","upload","2026-03-24T03:38:17Z"
"PORTER-232-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323491/birefnet-general-lite/gap/PORTER-232-3.jpg","","image","jpg","","birefnet-general-lite/gap/PORTER-232-3","8878e1581c68c7f9108f0e789fee7adc","PORTER-232-3","upload","2026-03-24T03:38:11Z"
"SMITH-001-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323481/birefnet-general-lite/gap/SMITH-001-1.jpg","","image","jpg","","birefnet-general-lite/gap/SMITH-001-1","3d216f0a4525a17127a3ddbd181219f3","SMITH-001-1","upload","2026-03-24T03:38:01Z"
"MIRAMAR-186-5_1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323481/birefnet-general-lite/gap/MIRAMAR-186-5_1.jpg","","image","jpg","","birefnet-general-lite/gap/MIRAMAR-186-5_1","f31212fd59ba792f57d2fb6ca0eb7c6a","MIRAMAR-186-5_1","upload","2026-03-24T03:38:01Z"
"MEG-403-3","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323468/birefnet-general-lite/gap/MEG-403-3.jpg","","image","jpg","","birefnet-general-lite/gap/MEG-403-3","703e0c3bc5b9f2cf3b692981cf61fb05","MEG-403-3","upload","2026-03-24T03:37:48Z"
"MEG-403-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323458/birefnet-general-lite/gap/MEG-403-2.jpg","","image","jpg","","birefnet-general-lite/gap/MEG-403-2","4bcda584b6beda52aee0c4a6aca968c0","MEG-403-2","upload","2026-03-24T03:37:38Z"
"MALLORCA-728-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323445/birefnet-general-lite/gap/MALLORCA-728-6.jpg","","image","jpg","","birefnet-general-lite/gap/MALLORCA-728-6","d713945570478191cfbba99fb3935fa5","MALLORCA-728-6","upload","2026-03-24T03:37:25Z"
"MISSION-600-4","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323482/birefnet-general-lite/gap/MISSION-600-4.jpg","","image","jpg","","birefnet-general-lite/gap/MISSION-600-4","25f7dbabb54202c4f54cda820cfc9b5e","MISSION-600-4","upload","2026-03-24T03:38:02Z"
"ARLO-902-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323464/birefnet-general-lite/gap/ARLO-902-2.jpg","","image","jpg","","birefnet-general-lite/gap/ARLO-902-2","2f0fbb605c55fbde478adc9853229c42","ARLO-902-2","upload","2026-03-24T03:37:44Z"
"FIORA-232-7","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323410/birefnet-general-lite/gap/FIORA-232-7.jpg","","image","jpg","","birefnet-general-lite/gap/FIORA-232-7","775685131006917249e9d1bf9f71b815","FIORA-232-7","upload","2026-03-24T03:36:50Z"
"ELIANA-145-6","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323401/birefnet-general-lite/gap/ELIANA-145-6.jpg","","image","jpg","","birefnet-general-lite/gap/ELIANA-145-6","342b148ccd1f5c41aba5a73b68070ccb","ELIANA-145-6","upload","2026-03-24T03:36:41Z"
"HANNAH-712-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323496/birefnet-general-lite/gap/HANNAH-712-2.jpg","","image","jpg","","birefnet-general-lite/gap/HANNAH-712-2","b3c14955548f4ef6ce07e8c566b07205","HANNAH-712-2","upload","2026-03-24T03:38:16Z"
"HARVEY-712-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323492/birefnet-general-lite/gap/HARVEY-712-1.jpg","","image","jpg","","birefnet-general-lite/gap/HARVEY-712-1","d232cdc844bfc0d0ca777e4fe5d467ab","HARVEY-712-1","upload","2026-03-24T03:38:12Z"
"MARGO-123-1","https://res.cloudinary.com/dkj6th63j/image/upload/v1774323484/birefnet-general-lite/gap/MARGO-123-1.jpg","","image","jpg","","birefnet-general-lite/gap/MARGO-123-1","6c49436ce20fc6a50a5fccd0f22bed29","MARGO-123-1","upload","2026-03-24T03:38:04Z"
