"filename","url","tags","assetType","format","moderationStatus","publicId","assetId","displayName","deliveryType","createdAt"
"2024-05-29BambooLittleFatBaby-1534","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893708/birefnet-general-lite/2024-05-29BambooLittleFatBaby-1534.png","","image","png","","birefnet-general-lite/2024-05-29BambooLittleFatBaby-1534","a5434a1017bce8e53d3a6ce29dc1a1c3","2024-05-29BambooLittleFatBaby-1534","upload","2026-03-19T04:15:08Z"
"2023-11-03BambooLittleFatBaby-2607","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893708/birefnet-general-lite/2023-11-03BambooLittleFatBaby-2607.png","","image","png","","birefnet-general-lite/2023-11-03BambooLittleFatBaby-2607","31d39ddcaab407f257eee21a77143530","2023-11-03BambooLittleFatBaby-2607","upload","2026-03-19T04:15:08Z"
"2024-09-22BambooLittleBox12-1899","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893705/birefnet-general-lite/2024-09-22BambooLittleBox12-1899.png","","image","png","","birefnet-general-lite/2024-09-22BambooLittleBox12-1899","ee1fae6aa19fcaad992d59f47f60c38e","2024-09-22BambooLittleBox12-1899","upload","2026-03-19T04:15:05Z"
"2023-08-11BambooLittleFatBaby-3592","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893703/birefnet-general-lite/2023-08-11BambooLittleFatBaby-3592.png","","image","png","","birefnet-general-lite/2023-08-11BambooLittleFatBaby-3592","c1764cf51be64015ca891d2437e22105","2023-08-11BambooLittleFatBaby-3592","upload","2026-03-19T04:15:03Z"
"027","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893703/birefnet-general-lite/027.png","","image","png","","birefnet-general-lite/027","0d206228c394a4cca4233cd496b73a7b","027","upload","2026-03-19T04:15:03Z"
"trucksbabyblanket1","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893700/birefnet-general-lite/trucksbabyblanket1.png","","image","png","","birefnet-general-lite/trucksbabyblanket1","3516bcfe0c38ff6f0916077e9c75938d","trucksbabyblanket1","upload","2026-03-19T04:15:00Z"
"2023-09-09Taylor-9928","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893698/birefnet-general-lite/2023-09-09Taylor-9928.png","","image","png","","birefnet-general-lite/2023-09-09Taylor-9928","a976c38a8c3cae046555bdf190d15ee8","2023-09-09Taylor-9928","upload","2026-03-19T04:14:58Z"
"Q91A9229","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893697/birefnet-general-lite/Q91A9229.png","","image","png","","birefnet-general-lite/Q91A9229","e680c0d545dc82d35e28e25f13f23803","Q91A9229","upload","2026-03-19T04:14:57Z"
"butterflytowel","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893695/birefnet-general-lite/butterflytowel.png","","image","png","","birefnet-general-lite/butterflytowel","53b608bf230e4aca905f47f9879e541c","butterflytowel","upload","2026-03-19T04:14:55Z"
"cloud-baby-pink-2","https://res.cloudinary.com/dkj6th63j/image/upload/v1773893694/birefnet-general-lite/cloud-baby-pink-2.png","","image","png","","birefnet-general-lite/cloud-baby-pink-2","6b9f87017d24e0034e0c5320baed6440","cloud-baby-pink-2","upload","2026-03-19T04:14:54Z"
